LEA_NAME,SCHID,SCH_NAME,American Indian/Alaskan Native,Asian,Black,Hispanic,Two or more races ,Native Hawaiian or other Pacific Islander ,White,Male,Female ,IDEA,LEP
STATE-SPONSORED CHARTER SCHOOLS,00608,Nevada State High School Henderson,NA,NA,50.00%,NA,NA,NA ,50.00%,50.00%,50.00%,,NA
STATE-SPONSORED CHARTER SCHOOLS,00614,Argent Preparatory Academy,2.78%,NA,NA,19.44%,11.11%,NA ,66.67%,50.00%,50.00%,16.67%,NA
STATE-SPONSORED CHARTER SCHOOLS,00731,Nevada Connections Academy,1.16%,2.00%,16.26%,28.35%,10.02%,0.77%,41.45%,45.84%,54.16%,10.86%,1.00%
STATE-SPONSORED CHARTER SCHOOLS,00734,Nevada Virtual Academy,2.21%,3.31%,16.54%,33.09%,NA,4.04%,40.44%,48.53%,51.47%,9.93%,2.57%
STATE-SPONSORED CHARTER SCHOOLS,00742,Coral Academy of Science Las Vegas Sandy Ridge,2.56%,5.13%,2.56%,12.82%,5.13%,NA ,71.79%,53.85%,46.15%,5.13%,NA
STATE-SPONSORED CHARTER SCHOOLS,00751,Beacon Academy of Nevada,1.01%,3.29%,20.25%,45.06%,2.28%,3.54%,24.56%,59.49%,40.51%,22.03%,14.68%
STATE-SPONSORED CHARTER SCHOOLS,00759,Quest Academy Northwest,0.91%,0.91%,39.09%,31.82%,8.18%,2.73%,16.36%,49.09%,50.91%,13.64%,13.64%
STATE-SPONSORED CHARTER SCHOOLS,00781,Silver Sands Montessori,NA,8.82%,NA,44.12%,17.65%,NA ,29.41%,47.06%,52.94%,8.82%,NA
STATE-SPONSORED CHARTER SCHOOLS,00784,Elko Institute for Academic Achievement,5.56%,2.78%,2.78%,13.89%,2.78%,NA ,72.22%,55.56%,44.44%,8.33%,NA
STATE-SPONSORED CHARTER SCHOOLS,00800,Alpine Academy High School,NA,NA,2.94%,26.47%,8.82%,NA ,61.76%,38.24%,61.76%,14.71%,NA
STATE-SPONSORED CHARTER SCHOOLS,00817,Oasis Academy,3.92%,7.84%,NA,13.73%,3.92%,1.96%,68.63%,41.18%,58.82%,9.80%,NA
STATE-SPONSORED CHARTER SCHOOLS,00818,Discovery Charter School HillPointe,4.35%,4.35%,4.35%,23.91%,8.70%,NA ,54.35%,54.35%,45.65%,10.87%,NA
STATE-SPONSORED CHARTER SCHOOLS,00820,Somerset Academy Sky Pointe,NA,0.93%,6.94%,20.37%,5.56%,0.93%,64.81%,49.07%,50.93%,10.19%,NA
STATE-SPONSORED CHARTER SCHOOLS,00821,Imagine School Mountain View,NA,4.42%,20.35%,35.40%,5.31%,3.54%,30.97%,44.25%,55.75%,5.31%,3.54%
STATE-SPONSORED CHARTER SCHOOLS,00825,Pinecrest Academy of Nevada Cadence,NA,1.04%,7.77%,37.82%,7.25%,0.52%,45.60%,49.22%,50.78%,11.92%,NA
STATE-SPONSORED CHARTER SCHOOLS,00826,Honors Academy of Literature,NA,NA,NA,11.11%,22.22%,NA ,66.67%,44.44%,55.56%,,NA
STATE-SPONSORED CHARTER SCHOOLS,00830,Doral Academy Red Rock,NA,7.14%,3.06%,24.49%,10.20%,4.08%,51.02%,41.84%,58.16%,6.12%,2.04%
STATE-SPONSORED CHARTER SCHOOLS,00833,Learning Bridge,NA,NA,NA,NA,NA,NA ,100.00%,33.33%,66.67%,,NA
STATE-SPONSORED CHARTER SCHOOLS,00842,Freedom Classical Academy North Las Vegas,NA,2.17%,21.74%,27.17%,3.26%,2.72%,42.93%,51.09%,48.91%,6.52%,3.80%
STATE-SPONSORED CHARTER SCHOOLS,00843,Founders Academy of Nevada,NA,1.59%,4.76%,17.46%,15.87%,NA ,60.32%,50.79%,49.21%,9.52%,7.94%
STATE-SPONSORED CHARTER SCHOOLS,00848,American Preparatory Academy LV,NA,8.33%,10.42%,25.00%,4.17%,8.33%,43.75%,54.17%,45.83%,18.75%,4.17%
STATE-SPONSORED CHARTER SCHOOLS,00851,Mater Academy Mountain Vista,NA,1.27%,10.13%,72.15%,9.49%,NA ,6.96%,44.94%,55.06%,13.92%,43.67%
STATE-SPONSORED CHARTER SCHOOLS,00856,Equipo Academy,NA,NA,2.22%,95.56%,NA,NA ,2.22%,57.78%,42.22%,,15.56%
STATE-SPONSORED CHARTER SCHOOLS,00870,Sports Leadership and Management Academy,0.76%,2.27%,12.88%,49.24%,7.58%,0.76%,26.52%,62.12%,37.88%,16.67%,12.12%
STATE-SPONSORED CHARTER SCHOOLS,00885,Discovery Charter School Mesa Vista,2.56%,2.56%,12.82%,20.51%,5.13%,2.56%,53.85%,64.10%,35.90%,,NA
STATE-SPONSORED CHARTER SCHOOLS,00886,Leadership Academy of Nevada,NA,NA,NA,NA,NA,NA ,100.00%,NA,100.00%,,NA
STATE-SPONSORED CHARTER SCHOOLS,00887,Quest Academy West Alexander,NA,NA,46.67%,40.00%,NA,NA ,13.33%,66.67%,33.33%,,20.00%
STATE-SPONSORED CHARTER SCHOOLS,00888,Doral Academy Cactus,NA,5.88%,1.96%,33.33%,1.96%,9.80%,47.06%,47.06%,52.94%,11.76%,NA
STATE-SPONSORED CHARTER SCHOOLS,00890,Coral Academy of Science Las Vegas Tamarus,NA,NA,NA,33.33%,NA,NA ,66.67%,55.56%,44.44%,,NA
STATE-SPONSORED CHARTER SCHOOLS,00891,Doral Academy Northern Nevada,NA,3.33%,NA,6.67%,10.00%,3.33%,76.67%,50.00%,50.00%,13.33%,NA
STATE-SPONSORED CHARTER SCHOOLS,00892,Doral Academy West Pebble,1.33%,18.67%,2.67%,25.33%,12.00%,6.67%,33.33%,40.00%,60.00%,8.00%,NA
STATE-SPONSORED CHARTER SCHOOLS,00893,Doral Academy Fire Mesa,NA,2.83%,7.55%,34.91%,4.72%,1.89%,48.11%,46.23%,53.77%,14.15%,2.83%
STATE-SPONSORED CHARTER SCHOOLS,00894,Coral Academy of Science Las Vegas Windmill,NA,7.14%,NA,50.00%,NA,NA ,42.86%,50.00%,50.00%,,NA
STATE-SPONSORED CHARTER SCHOOLS,00895,Legacy Traditional School North Valley,0.70%,1.41%,17.61%,35.21%,9.86%,0.70%,34.51%,55.63%,44.37%,8.45%,4.93%
STATE-SPONSORED CHARTER SCHOOLS,00896,Mater Academy Northern Nevada,2.08%,NA,20.83%,50.00%,2.08%,2.08%,22.92%,54.17%,45.83%,12.50%,18.75%
STATE-SPONSORED CHARTER SCHOOLS,00897,Pinecrest Academy of Nevada Horizon,NA,2.56%,20.51%,24.79%,2.56%,1.71%,47.86%,48.72%,51.28%,16.24%,2.56%
STATE-SPONSORED CHARTER SCHOOLS,00898,Somerset Academy Losee,NA,2.73%,17.49%,42.62%,8.20%,3.28%,25.68%,41.53%,58.47%,12.02%,5.46%
STATE-SPONSORED CHARTER SCHOOLS,00899,Pinecrest Academy St Rose,NA,9.76%,4.88%,36.59%,4.88%,7.32%,36.59%,41.46%,58.54%,17.07%,NA
STATE-SPONSORED CHARTER SCHOOLS,00900,Nevada State High School Downtown,NA,NA,NA,100.00%,NA,NA ,NA,100.00%,NA,,NA
STATE-SPONSORED CHARTER SCHOOLS,00901,Somerset Academy Lone Mountain,NA,3.51%,3.51%,31.58%,5.26%,NA ,56.14%,35.09%,64.91%,7.02%,NA
STATE-SPONSORED CHARTER SCHOOLS,00902,Mater Academy Bonanza,1.18%,1.18%,14.12%,69.41%,4.71%,NA ,9.41%,54.12%,45.88%,10.59%,44.71%
STATE-SPONSORED CHARTER SCHOOLS,00903,Nevada State High School Summerlin,NA,NA,NA,NA,50.00%,NA ,50.00%,50.00%,50.00%,,NA
STATE-SPONSORED CHARTER SCHOOLS,00904,Somerset Academy North Las Vegas,NA,NA,19.31%,34.48%,12.41%,1.38%,32.41%,51.72%,48.28%,12.41%,8.28%
STATE-SPONSORED CHARTER SCHOOLS,00905,Quest Academy Bridger,NA,7.50%,27.50%,37.50%,17.50%,2.50%,7.50%,45.00%,55.00%,15.00%,25.00%
STATE-SPONSORED CHARTER SCHOOLS,00906,Doral Academy Saddle,1.69%,1.69%,10.17%,27.12%,8.47%,1.69%,49.15%,59.32%,40.68%,15.25%,5.08%
STATE-SPONSORED CHARTER SCHOOLS,00907,Coral Academy of Science Las Vegas Nellis AFB,NA,3.39%,8.47%,13.56%,5.08%,NA ,69.49%,45.76%,54.24%,6.78%,NA
