"","LEA_NAME","SCHID","SCH_NAME","Demographics","Percentage"
"1","STATE-SPONSORED CHARTER SCHOOLS","00608","Nevada State High School Henderson","American Indian/Alaskan Native",NA
"2","STATE-SPONSORED CHARTER SCHOOLS","00614","Argent Preparatory Academy","American Indian/Alaskan Native","2.78%"
"3","STATE-SPONSORED CHARTER SCHOOLS","00731","Nevada Connections Academy","American Indian/Alaskan Native","1.16%"
"4","STATE-SPONSORED CHARTER SCHOOLS","00734","Nevada Virtual Academy","American Indian/Alaskan Native","2.21%"
"5","STATE-SPONSORED CHARTER SCHOOLS","00742","Coral Academy of Science Las Vegas Sandy Ridge","American Indian/Alaskan Native","2.56%"
"6","STATE-SPONSORED CHARTER SCHOOLS","00751","Beacon Academy of Nevada","American Indian/Alaskan Native","1.01%"
"7","STATE-SPONSORED CHARTER SCHOOLS","00759","Quest Academy Northwest","American Indian/Alaskan Native","0.91%"
"8","STATE-SPONSORED CHARTER SCHOOLS","00781","Silver Sands Montessori","American Indian/Alaskan Native",NA
"9","STATE-SPONSORED CHARTER SCHOOLS","00784","Elko Institute for Academic Achievement","American Indian/Alaskan Native","5.56%"
"10","STATE-SPONSORED CHARTER SCHOOLS","00800","Alpine Academy High School","American Indian/Alaskan Native",NA
"11","STATE-SPONSORED CHARTER SCHOOLS","00817","Oasis Academy","American Indian/Alaskan Native","3.92%"
"12","STATE-SPONSORED CHARTER SCHOOLS","00818","Discovery Charter School HillPointe","American Indian/Alaskan Native","4.35%"
"13","STATE-SPONSORED CHARTER SCHOOLS","00820","Somerset Academy Sky Pointe","American Indian/Alaskan Native",NA
"14","STATE-SPONSORED CHARTER SCHOOLS","00821","Imagine School Mountain View","American Indian/Alaskan Native",NA
"15","STATE-SPONSORED CHARTER SCHOOLS","00825","Pinecrest Academy of Nevada Cadence","American Indian/Alaskan Native",NA
"16","STATE-SPONSORED CHARTER SCHOOLS","00826","Honors Academy of Literature","American Indian/Alaskan Native",NA
"17","STATE-SPONSORED CHARTER SCHOOLS","00830","Doral Academy Red Rock","American Indian/Alaskan Native",NA
"18","STATE-SPONSORED CHARTER SCHOOLS","00833","Learning Bridge","American Indian/Alaskan Native",NA
"19","STATE-SPONSORED CHARTER SCHOOLS","00842","Freedom Classical Academy North Las Vegas","American Indian/Alaskan Native",NA
"20","STATE-SPONSORED CHARTER SCHOOLS","00843","Founders Academy of Nevada","American Indian/Alaskan Native",NA
"21","STATE-SPONSORED CHARTER SCHOOLS","00848","American Preparatory Academy LV","American Indian/Alaskan Native",NA
"22","STATE-SPONSORED CHARTER SCHOOLS","00851","Mater Academy Mountain Vista","American Indian/Alaskan Native",NA
"23","STATE-SPONSORED CHARTER SCHOOLS","00856","Equipo Academy","American Indian/Alaskan Native",NA
